Sample,clonotype_count_tool_modified,normalized_shannon_index_tool_modified,tool,clonotype_count_tool_original,normalized_shannon_index_tool_original,clonotype_count_TCR,normalized_shannon_wiener_index_TCR,absolute_error_original,absolute_error_modified
ESO1-sorted-T-cells_S13_L007,1,inf,MIXCR,2592,0.105489155658458,3001,0.13397210615325894,0.028482950494800943,inf
INY1-sorted-T-cells_S14_L007,1,inf,MIXCR,1565,0.13441926252078462,3229,0.12391220062469124,0.010507061896093378,inf
INY2-sorted-T-cells_S15_L007,3,0.2508643584921259,MIXCR,1012,0.11449422539631834,7697,0.10733723733855456,0.007156988057763783,0.14352712115357136
ESO1-sorted-T-cells_S13_L007,2,0.17134985600352848,IMREP,3682,0.14169396700354153,3001,0.13397210615325894,0.007721860850282591,0.03737774985026954
INY1-sorted-T-cells_S14_L007,2,0.3181783052145573,IMREP,4392,0.29091109111397073,3229,0.12391220062469124,0.1669988904892795,0.19426610458986607
INY2-sorted-T-cells_S15_L007,3,0.21490321161647438,IMREP,3513,0.2296994917244109,7697,0.10733723733855456,0.12236225438585634,0.10756597427791982
ESO1-sorted-T-cells_S13_L007,3,0.10849258385047834,TRUST4,4154,0.13989698799367847,3001,0.13397210615325894,0.0059248818404195325,0.025479522302780597
INY1-sorted-T-cells_S14_L007,14,0.11130900817384275,TRUST4,5275,0.2593619971052552,3229,0.12391220062469124,0.13544979648056396,0.012603192450848497
INY2-sorted-T-cells_S15_L007,13,0.12178616931894849,TRUST4,3923,0.19425214276741606,7697,0.10733723733855456,0.0869149054288615,0.014448931980393931
